hole_cards,preflop_action,position,sample_hand_strength,position_processed,preflop_action_processed
"('6s', '6h')",R,BTN,0.09,3,1
"('7d', 'Ah')",F,MP,0.2,1,0
"('As', 'Th')",R,EP,0.105,0,1
"('Ac', '9d')",F,MP,0.145,1,0
"('Ks', 'Qh')",F,EP,0.115,0,0
"('4s', 'As')",F,CO,0.17,2,0
"('9d', 'Kd')",R,EP,0.145,0,1
"('Qh', 'Qc')",R,EP,0.015,0,1
"('Kc', 'Ts')",F,MP,0.175,1,0
"('Ah', '7s')",F,MP,0.2,1,0
"('Qc', 'Kh')",F,BTN,0.115,3,0
"('As', '8h')",F,EP,0.165,0,0
"('Ad', 'As')",R,MP,0.005,1,1
"('7h', 'Ac')",R,SB,0.2,4,1
"('Ac', '7d')",R,BTN,0.2,3,1
"('Ad', 'Td')",R,SB,0.06,4,1
"('Ks', 'Tc')",R,BTN,0.175,3,1
"('Th', 'Ts')",R,MP,0.025,1,1
"('Ad', 'Kd')",F,MP,0.035,1,0
"('Jd', 'Kd')",R,EP,0.085,0,1
"('5c', '5d')",F,MP,0.145,1,0
"('Jc', 'Tc')",R,EP,0.21,0,1
"('Jh', 'Kd')",F,EP,0.14,0,0
"('Qd', 'Td')",R,MP,0.15,1,1
"('Ac', '8d')",F,MP,0.165,1,0
"('Th', 'Ks')",R,BTN,0.175,3,1
"('8h', '8s')",R,SB,0.035,4,1
"('6s', '6c')",F,EP,0.09,0,0
"('Jc', 'Ks')",R,EP,0.14,0,1
"('Ac', 'Kc')",R,CO,0.035,2,1
"('Js', 'Jh')",R,CO,0.02,2,1
"('Jc', 'Kc')",R,BTN,0.085,3,1
"('5h', 'Ah')",R,SB,0.155,4,1
"('Js', 'Ks')",R,EP,0.085,0,1
"('Ah', '9s')",R,BTN,0.145,3,1
"('Ks', 'Qs')",F,MP,0.07,1,0
"('Jd', 'As')",F,BTN,0.08,3,0
"('Ts', 'Th')",R,CO,0.025,2,1
"('6d', '6h')",F,EP,0.09,0,0
"('Ts', 'Qs')",R,BTN,0.15,3,1
"('Jd', 'Qd')",F,EP,0.12,0,0
"('8d', '8s')",R,MP,0.035,1,1
"('Kc', '8c')",F,EP,0.18,0,0
"('Ah', 'Jh')",F,EP,0.055,0,0
"('Th', 'Td')",F,EP,0.025,0,0
"('Ad', '8h')",F,CO,0.165,2,0
"('Th', 'Ah')",R,MP,0.06,1,1
"('Kh', 'Js')",F,EP,0.14,0,0
"('Ad', '8d')",R,SB,0.105,4,1
"('Ah', 'Ks')",R,BTN,0.05,3,1
"('8s', 'Ks')",F,SB,0.18,4,0
"('Kh', 'Qs')",R,BTN,0.115,3,1
"('Kh', '7h')",F,CO,0.21,2,0
"('8s', 'Ac')",F,MP,0.165,1,0
"('Ac', 'Tc')",R,EP,0.06,0,1
"('Ks', 'Kd')",R,EP,0.01,0,1
"('Ad', 'Qs')",R,SB,0.07,4,1
"('Ah', '2h')",F,MP,0.215,1,0
"('Th', 'As')",F,EP,0.105,0,0
"('Ah', '8d')",F,MP,0.165,1,0
"('Ac', '8s')",F,CO,0.165,2,0
"('Qh', 'Qd')",R,EP,0.015,0,1
"('Jd', 'Qc')",F,MP,0.195,1,0
"('As', '9s')",R,BTN,0.085,3,1
"('Jc', 'Ad')",F,BTN,0.08,3,0
"('Ah', 'Td')",R,SB,0.105,4,1
"('9d', 'Ac')",F,MP,0.145,1,0
"('Jd', 'Ac')",R,MP,0.08,1,1
"('Qd', 'Js')",R,MP,0.195,1,1
"('9h', '9c')",R,MP,0.03,1,1
"('Ad', '9h')",F,MP,0.145,1,0
"('Ad', '6d')",R,MP,0.155,1,1
"('9s', 'Ad')",F,MP,0.145,1,0
"('Ts', 'Ah')",R,EP,0.105,0,1
"('Th', 'Kc')",F,EP,0.175,0,0
"('Kh', 'Qc')",R,BTN,0.115,3,1
"('6h', 'Ah')",R,MP,0.155,1,1
"('9h', 'Qh')",R,CO,0.185,2,1
