hole_cards,preflop_action,position,sample_hand_strength,position_processed,preflop_action_processed
"('6d', 'Ac')",F,CO,51,2,0
"('6s', '6h')",R,BTN,16,3,1
"('7d', 'Ah')",F,MP,45,1,0
"('Qh', '8d')",F,MP,53,1,0
"('3d', 'Qs')",F,EP,77,0,0
"('Qh', '8d')",F,MP,53,1,0
"('Qd', '3d')",F,MP,30,1,0
"('As', 'Th')",R,EP,18,0,1
"('Qs', '4c')",F,MP,76,1,0
"('7s', 'Jh')",F,MP,64,1,0
"('7d', 'Js')",F,BTN,64,3,0
"('Th', '4s')",F,EP,90,0,0
"('Ks', '7h')",F,MP,57,1,0
"('7s', 'Kh')",F,MP,57,1,0
"('6d', '3d')",F,EP,38,0,0
"('Ac', '9d')",F,MP,32,1,0
"('Qh', '6d')",F,EP,71,0,0
"('2s', 'Js')",F,MP,38,1,0
"('6h', '2c')",F,EP,95,0,0
"('8d', 'Ts')",F,MP,43,1,0
"('6d', '2h')",F,MP,95,1,0
"('7s', '3c')",F,SB,93,4,0
"('2s', 'Qs')",F,EP,31,0,0
"('7d', '3d')",F,MP,45,1,0
"('Qc', '9d')",F,EP,36,0,0
"('Qd', '6s')",F,MP,71,1,0
"('7h', 'Th')",F,MP,25,1,0
"('Ks', 'Qh')",F,EP,9,0,0
"('Jd', '6d')",F,MP,33,1,0
"('2s', '9s')",F,CO,49,2,0
"('7h', '4h')",F,BTN,37,3,0
"('Js', '8s')",F,MP,17,1,0
"('8s', '2s')",F,CO,54,2,0
"('4s', 'Kd')",F,BTN,67,3,0
"('Td', '8h')",F,EP,43,0,0
"('6d', 'Ks')",F,MP,60,1,0
"('4d', '8h')",F,MP,88,1,0
"('3c', 'Qd')",F,EP,77,0,0
"('Jd', '6s')",F,MP,80,1,0
"('9h', '2h')",F,BTN,49,3,0
"('Js', '4d')",F,SB,85,4,0
"('7s', 'Tc')",F,MP,59,1,0
"('Ah', '3c')",F,CO,49,2,0
"('6s', 'Tc')",F,SB,74,4,0
"('4d', '7h')",F,MP,78,1,0
"('4s', 'As')",F,CO,14,2,0
"('Ac', '3d')",F,CO,49,2,0
"('Js', '3s')",F,BTN,37,3,0
"('2s', '6d')",F,EP,95,0,0
"('Jd', '7h')",F,MP,64,1,0
"('3c', '2c')",F,MP,46,1,0
"('9d', 'Kd')",R,EP,10,0,1
"('9h', 'Ks')",F,MP,35,1,0
"('Kc', '6d')",F,MP,60,1,0
"('Qc', '3s')",F,SB,77,4,0
"('Qh', 'Qc')",R,EP,1,0,1
"('6s', 'Ac')",F,MP,51,1,0
"('2s', 'Js')",F,CO,38,2,0
"('7s', '2s')",F,BTN,56,3,0
"('Kc', 'Ts')",F,MP,20,1,0
"('Qd', '8h')",F,CO,53,2,0
"('6s', 'Tc')",F,BTN,74,3,0
"('Ah', '7s')",F,MP,45,1,0
"('9h', '4d')",F,CO,95,2,0
"('2c', 'Kd')",F,MP,69,1,0
"('Qc', 'Kh')",F,BTN,9,3,0
"('4c', 'Kd')",F,MP,67,1,0
"('4h', 'Ks')",F,BTN,67,3,0
"('3c', 'Kh')",F,EP,67,0,0
"('7c', '8s')",F,MP,52,1,0
"('3d', '5c')",F,CO,72,2,0
"('8c', '5s')",F,BTN,73,3,0
"('3h', 'Jh')",F,MP,37,1,0
"('4h', '2d')",F,CO,86,2,0
"('Qd', 'Th')",F,BTN,22,3,0
"('As', '8h')",F,EP,39,0,0
"('Ad', 'As')",R,MP,0,1,1
"('3h', '7d')",F,CO,93,2,0
"('3h', '5c')",F,BTN,72,3,0
"('9c', '5h')",F,EP,83,0,0
"('Ts', '7d')",F,MP,59,1,0
"('6h', 'Tc')",F,CO,74,2,0
"('7c', 'Jd')",F,MP,64,1,0
"('2s', '3h')",F,BTN,91,3,0
"('7h', 'Ac')",R,SB,45,4,1
"('Ac', '7d')",R,BTN,45,3,1
"('Ad', 'Td')",R,SB,5,4,1
"('Th', '8c')",F,BTN,43,3,0
"('6h', '9s')",F,SB,68,4,0
"('Th', '4h')",F,BTN,40,3,0
"('5c', 'Kc')",R,SB,25,4,1
"('7c', '8d')",F,MP,52,1,0
"('Ks', 'Tc')",R,BTN,20,3,1
"('9s', '8c')",F,SB,42,4,0
"('3s', '7c')",F,EP,93,0,0
"('Th', 'Ts')",R,MP,4,1,1
"('7h', '5c')",F,EP,65,0,0
"('Ad', 'Kd')",F,MP,2,1,0
"('Jd', 'Kd')",R,EP,3,0,1
"('Qs', '4s')",F,MP,29,1,0
"('6d', 'Ac')",F,MP,51,1,0
"('Ad', '3s')",F,EP,49,0,0
"('4s', 'Qc')",F,MP,76,1,0
"('6c', '4h')",F,MP,70,1,0
"('Qh', 'Td')",R,SB,22,4,1
"('9h', 'Td')",F,EP,31,0,0
"('5c', '5d')",F,MP,20,1,0
"('4h', '8d')",F,MP,88,1,0
"('3c', 'Qh')",F,BTN,77,3,0
"('Jc', 'Tc')",R,EP,6,0,1
"('Qc', '2h')",F,MP,79,1,0
"('4h', '5c')",F,BTN,62,3,0
"('6c', '2d')",F,EP,95,0,0
"('Ts', '8d')",F,CO,43,2,0
"('9s', '2h')",F,BTN,97,3,0
"('5c', '9c')",F,MP,38,1,0
"('7h', 'Ks')",F,EP,57,0,0
"('Jh', 'Kd')",F,EP,14,0,0
"('2d', '6h')",F,MP,95,1,0
"('8s', '6d')",F,BTN,61,3,0
"('4d', 'Ts')",F,SB,90,4,0
"('6c', 'Qs')",F,EP,71,0,0
"('2s', 'Ts')",F,MP,41,1,0
"('6d', '9s')",F,EP,68,0,0
"('Th', '9h')",F,MP,10,1,0
"('6s', '8h')",F,MP,61,1,0
"('Qh', '5c')",F,SB,75,4,0
"('9c', '7c')",F,EP,24,0,0
"('Qd', '3d')",F,MP,30,1,0
"('3h', 'Qh')",F,BTN,30,3,0
"('Ad', '3c')",F,SB,49,4,0
"('Kh', '2d')",F,BTN,69,3,0
"('4c', 'Td')",F,SB,90,4,0
"('Jh', '3c')",F,BTN,86,3,0
"('4c', '7d')",F,SB,78,4,0
"('3d', '9h')",F,MP,96,1,0
"('Tc', 'Jh')",F,CO,21,2,0
"('6h', 'Js')",F,BTN,80,3,0
"('9c', '4s')",F,MP,95,1,0
"('4s', 'Kd')",F,CO,67,2,0
"('Kc', '2d')",F,CO,69,2,0
"('5s', '7c')",F,BTN,65,3,0
"('8d', '9c')",F,SB,42,4,0
"('2s', 'Ks')",F,BTN,26,3,0
"('8s', '5h')",F,SB,73,4,0
"('7h', '2d')",F,CO,100,2,0
"('Qs', '6d')",F,CO,71,2,0
"('5h', '9s')",F,MP,83,1,0
"('Qd', 'Td')",R,MP,6,1,1
"('Jh', '4d')",F,MP,85,1,0
"('7s', '6h')",F,MP,57,1,0
"('Td', '4c')",F,MP,90,1,0
"('3d', 'Ks')",F,MP,67,1,0
"('2d', '6d')",F,SB,49,4,0
"('4s', '9c')",F,MP,95,1,0
"('Th', '2c')",F,MP,94,1,0
"('Ac', '8d')",F,MP,39,1,0
"('8h', '7d')",F,BTN,52,3,0
"('3h', '9h')",F,SB,47,4,0
"('Kd', '2d')",F,BTN,26,3,0
"('Kh', '5d')",F,SB,63,4,0
"('Tc', '6d')",F,SB,74,4,0
"('Ks', '3h')",F,EP,67,0,0
"('Qs', '4s')",F,MP,29,1,0
"('Tc', 'Jd')",F,MP,21,1,0
"('Th', 'Ks')",R,BTN,20,3,1
"('2h', '2s')",R,SB,24,4,1
"('9d', 'Ts')",F,EP,31,0,0
"('Th', 'Qd')",R,MP,22,1,1
"('Td', '7h')",F,BTN,59,3,0
"('3s', 'Qs')",F,EP,30,0,0
"('8h', 'Jc')",F,MP,48,1,0
"('8h', '8s')",R,SB,9,4,1
"('Jh', '2d')",F,EP,87,0,0
"('2d', '6s')",F,MP,95,1,0
"('Kd', '4c')",F,MP,67,1,0
"('6s', '6c')",F,EP,16,0,0
"('2s', '7d')",F,MP,100,1,0
"('Jh', '9s')",F,MP,34,1,0
"('3d', 'Ts')",F,SB,92,4,0
"('Qh', '4c')",F,EP,76,0,0
"('6d', '4d')",F,MP,29,1,0
"('2s', '9d')",F,BTN,97,3,0
"('Jc', 'Ks')",R,EP,14,0,1
"('4d', '7s')",F,MP,78,1,0
"('3c', '7h')",F,MP,93,1,0
"('6s', '4h')",F,EP,70,0,0
"('7h', '4s')",F,MP,78,1,0
"('Ks', '7c')",F,MP,57,1,0
"('9c', '5h')",F,BTN,83,3,0
"('Tc', 'Qh')",R,SB,22,4,1
"('Jh', 'Tc')",F,MP,21,1,0
"('4c', '9d')",F,CO,95,2,0
"('4c', 'Qs')",F,BTN,76,3,0
"('Jh', '3c')",F,MP,86,1,0
"('3c', '6d')",F,BTN,81,3,0
"('Qd', 'Ts')",F,CO,22,2,0
"('Ac', 'Kc')",R,CO,2,2,1
"('9s', '8c')",F,SB,42,4,0
"('8s', 'Td')",F,EP,43,0,0
"('5h', 'Kc')",F,MP,63,1,0
"('2s', '4d')",F,MP,86,1,0
"('9c', '8c')",F,EP,17,0,0
"('Kc', '4h')",F,MP,67,1,0
"('8h', '5s')",F,BTN,73,3,0
"('3s', 'Ks')",F,MP,26,1,0
"('5d', '8d')",F,EP,33,0,0
"('3c', '3h')",F,MP,23,1,0
"('3s', '8d')",F,CO,98,2,0
"('4c', '5d')",F,BTN,62,3,0
"('Js', 'Jh')",R,CO,2,2,1
"('Th', '3h')",F,CO,41,2,0
"('Kc', '9h')",F,CO,35,2,0
"('Jc', 'Kc')",R,BTN,3,3,1
"('4h', 'Ad')",F,CO,46,2,0
"('4s', '6s')",F,CO,29,2,0
"('5h', 'Ah')",R,SB,12,4,1
"('3d', '7d')",F,CO,45,2,0
"('Th', '7c')",F,SB,59,4,0
"('4s', 'Qc')",F,MP,76,1,0
"('9c', '8d')",F,MP,42,1,0
"('Js', 'Ks')",R,EP,3,0,1
"('As', '3d')",F,MP,49,1,0
"('2c', 'Th')",F,MP,94,1,0
"('Th', 'Js')",F,CO,21,2,0
"('3h', 'Jc')",F,MP,86,1,0
"('4c', '5h')",F,BTN,62,3,0
"('7c', '6h')",F,SB,57,4,0
"('Js', 'Th')",F,EP,21,0,0
"('Ah', '9s')",R,BTN,32,3,1
"('2c', '5c')",F,EP,39,0,0
"('Tc', '7d')",F,MP,59,1,0
"('Ks', 'Qs')",F,MP,3,1,0
"('Jd', 'As')",F,BTN,12,3,0
"('Qc', '5s')",F,MP,75,1,0
"('Ts', 'Th')",R,CO,4,2,1
"('2h', 'Jh')",F,MP,38,1,0
"('9h', '6h')",F,EP,29,0,0
"('7c', '5s')",F,MP,65,1,0
"('6d', '6h')",F,EP,16,0,0
"('4d', '5h')",F,EP,62,0,0
"('5c', 'Ts')",F,MP,89,1,0
"('Ts', 'Qs')",R,BTN,6,3,1
"('Th', '5h')",F,CO,40,2,0
"('8d', '6d')",F,EP,27,0,0
"('6d', 'Qs')",F,MP,71,1,0
"('7d', 'Ks')",F,BTN,57,3,0
"('Ks', '2c')",F,EP,69,0,0
"('4s', '2c')",F,MP,86,1,0
"('Jd', 'Qd')",F,EP,5,0,0
"('9d', '2s')",F,MP,97,1,0
"('3d', '6d')",F,EP,38,0,0
"('Kd', '7h')",F,MP,57,1,0
"('Qh', '9s')",F,EP,36,0,0
"('Qh', '7d')",F,MP,66,1,0
"('3d', '5s')",F,MP,72,1,0
"('9s', '5s')",F,EP,38,0,0
"('8d', '8s')",R,MP,9,1,1
"('Tc', 'Qh')",F,EP,22,0,0
"('2s', 'Qh')",F,MP,79,1,0
"('Kc', '8c')",F,EP,16,0,0
"('2h', '4d')",F,CO,86,2,0
"('Tc', '5d')",F,BTN,89,3,0
"('Ah', 'Jh')",F,EP,3,0,0
"('4d', 'Qh')",F,MP,76,1,0
"('Th', 'Td')",F,EP,4,0,0
"('Ac', '6d')",F,MP,51,1,0
"('Ad', '8h')",F,CO,39,2,0
"('Th', 'Ah')",R,MP,5,1,1
"('Ts', '8c')",F,MP,43,1,0
"('8s', '6c')",F,BTN,61,3,0
"('6s', '3d')",F,SB,81,4,0
"('Ks', '7c')",F,EP,57,0,0
"('Qh', '3s')",F,MP,77,1,0
"('2d', 'Tc')",F,BTN,94,3,0
"('4s', 'Jd')",F,SB,85,4,0
"('3h', '9c')",F,EP,96,0,0
"('9h', 'Qd')",F,MP,36,1,0
"('4c', 'Kd')",F,MP,67,1,0
"('Qs', '3c')",F,BTN,77,3,0
"('9c', '6s')",F,EP,68,0,0
"('Ks', '6s')",F,EP,24,0,0
"('7h', 'Kc')",F,MP,57,1,0
"('Qh', '5c')",F,EP,75,0,0
"('3d', '3c')",F,MP,23,1,0
"('9s', '5d')",F,EP,83,0,0
"('5s', '7c')",F,MP,65,1,0
"('6s', '2c')",F,CO,95,2,0
"('6c', '4s')",F,SB,70,4,0
"('2c', 'Ad')",F,CO,54,2,0
"('3s', '6s')",F,BTN,38,3,0
"('Tc', '8h')",F,CO,43,2,0
"('5h', '3c')",F,BTN,72,3,0
"('7h', '8c')",F,EP,52,0,0
"('Js', '6s')",F,MP,33,1,0
"('8h', '6s')",F,CO,61,2,0
"('As', '3h')",F,CO,49,2,0
"('5d', '9s')",F,CO,83,2,0
"('8d', '2h')",F,EP,99,0,0
"('Qh', '8d')",F,MP,53,1,0
"('7s', '5h')",F,EP,65,0,0
"('Qh', '9c')",F,MP,36,1,0
"('Kc', '5s')",F,MP,63,1,0
"('Kh', 'Js')",F,EP,14,0,0
"('6c', '2s')",F,MP,95,1,0
"('4c', '9h')",F,MP,95,1,0
"('8d', '5s')",F,BTN,73,3,0
"('Kd', '3h')",F,MP,67,1,0
"('6s', '3h')",F,EP,81,0,0
"('3c', '9s')",F,MP,96,1,0
"('2h', '6s')",F,EP,95,0,0
"('6s', 'Qh')",F,MP,71,1,0
"('Kh', '5s')",F,MP,63,1,0
"('3h', '5s')",F,CO,72,2,0
"('3h', 'Qh')",F,CO,30,2,0
"('9d', '7c')",F,CO,55,2,0
"('Ah', '5c')",F,CO,44,2,0
"('5c', '7s')",F,MP,65,1,0
"('7d', '2d')",F,BTN,56,3,0
"('Ad', '8d')",R,SB,10,4,1
"('7h', 'Kd')",F,BTN,57,3,0
"('5s', '7d')",F,SB,65,4,0
"('9s', '2c')",F,EP,97,0,0
"('6h', '5h')",F,MP,27,1,0
"('Qc', '2c')",F,BTN,31,3,0
"('2s', '2d')",F,EP,24,0,0
"('Jh', '9h')",R,BTN,11,3,1
"('5s', '4d')",F,SB,62,4,0
"('8s', 'Kc')",F,EP,50,0,0
"('Qc', '9s')",F,SB,36,4,0
"('Ah', 'Ks')",R,BTN,5,3,1
"('9s', 'Kc')",R,BTN,35,3,1
"('3d', 'Jc')",F,CO,86,2,0
"('9d', '5d')",F,CO,38,2,0
"('6c', 'Jd')",F,BTN,80,3,0
"('Kd', '6s')",F,CO,60,2,0
"('7s', 'Tc')",F,CO,59,2,0
"('8s', 'Ks')",F,SB,16,4,0
"('Kh', 'Qs')",R,BTN,9,3,1
"('4d', 'Th')",F,CO,90,2,0
"('Kh', '7h')",F,CO,19,2,0
"('6s', 'Kd')",F,EP,60,0,0
"('8s', 'Ac')",F,MP,39,1,0
"('2d', '4c')",F,BTN,86,3,0
"('8d', '7d')",R,SB,21,4,1
"('Ac', 'Tc')",R,EP,5,0,1
"('As', '3h')",F,MP,49,1,0
"('2d', 'Ts')",F,MP,94,1,0
"('Ks', 'Kd')",R,EP,1,0,1
"('2c', 'Jc')",F,MP,38,1,0
"('Ad', 'Qs')",R,SB,8,4,1
"('2s', 'Td')",F,EP,94,0,0
"('Ah', '2h')",F,MP,17,1,0
"('5c', '3s')",F,MP,72,1,0
"('Jd', '8h')",F,CO,48,2,0
"('8h', '4h')",F,SB,40,4,0
"('Js', '3c')",F,CO,86,2,0
"('Ad', '2h')",F,BTN,54,3,0
"('5c', '4h')",F,EP,62,0,0
"('6d', 'Tc')",F,MP,74,1,0
"('6h', '7s')",F,MP,57,1,0
"('6d', '2h')",F,EP,95,0,0
"('9c', '6c')",F,MP,29,1,0
"('6d', '2s')",F,EP,95,0,0
"('3c', '8s')",F,EP,98,0,0
"('2c', 'Jd')",F,MP,87,1,0
"('Th', 'As')",F,EP,18,0,0
"('3d', '9s')",F,MP,96,1,0
"('5c', '2c')",F,BTN,39,3,0
"('Td', '7h')",F,CO,59,2,0
"('8d', 'Kc')",F,MP,50,1,0
"('Td', '5c')",F,SB,89,4,0
"('2s', 'Kc')",F,EP,69,0,0
"('5c', 'Js')",F,MP,82,1,0
"('9s', '6c')",F,EP,68,0,0
"('Qs', '2c')",F,MP,79,1,0
"('4s', '7s')",F,BTN,37,3,0
"('Ks', '4s')",F,EP,25,0,0
"('Ks', '9h')",F,MP,35,1,0
"('4c', '8c')",F,MP,40,1,0
"('Jc', '5d')",F,BTN,82,3,0
"('Jd', '5h')",F,SB,82,4,0
"('9h', '2h')",F,EP,49,0,0
"('Ah', '8d')",F,MP,39,1,0
"('9h', '8c')",F,MP,42,1,0
"('7h', '4c')",F,BTN,78,3,0
"('8h', '6s')",F,EP,61,0,0
"('7s', '2d')",F,MP,100,1,0
"('Jc', '6h')",F,MP,80,1,0
"('4c', '8d')",F,BTN,88,3,0
"('2s', '9h')",F,CO,97,2,0
"('3d', '4c')",F,CO,76,2,0
"('6s', 'Js')",F,CO,33,2,0
"('7d', '4c')",F,CO,78,2,0
"('3s', 'Td')",F,BTN,92,3,0
"('8s', 'Qc')",F,SB,53,4,0
"('4h', '6d')",F,CO,70,2,0
"('Ac', '8s')",F,CO,39,2,0
"('9h', '6s')",F,CO,68,2,0
"('Kd', '3s')",F,BTN,67,3,0
"('9d', '3h')",F,EP,96,0,0
"('Jd', '5c')",F,MP,82,1,0
"('2h', '5d')",F,BTN,84,3,0
"('Qh', 'Qd')",R,EP,1,0,1
"('3s', 'Js')",F,EP,37,0,0
"('5d', 'Js')",F,MP,82,1,0
"('Td', '6s')",F,MP,74,1,0
"('9d', '3d')",F,EP,47,0,0
"('5s', '3c')",F,MP,72,1,0
"('6s', 'Jd')",F,MP,80,1,0
